universal_bigg_id,name,MNX,smiles_ok
2agpe141,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),MNXM3447,CCCCCC/C=C/CCCCCC(=[O+])OC(CO)COP(=O)([O-])OCC[N]
2agpe160,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0),MNXM34810,CCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN
2agpe181,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1),MNXM3449,CCCCCC/C=C/CCCCCCCCCC(=[O+])OC(CO)COP(=O)([O-])OCC[N]
2agpg120,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),MNXM3450,CCCCCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC(O)CO
2agpg140,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0),MNXM34739,CCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])OC[C@@H](O)CO
2agpg160,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0),MNXM34740,CCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])OC[C@@H](O)CO
2agpg161,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1),MNXM3453,CCCCCC/C=C/CCCCCCCC(=O)OC(CO)COP(=O)([O-])OCC(O)CO
2agpg180,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0),MNXM150642,CCCCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])OCC(O)CO
2agpg181,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),MNXM3455,CCCCCC/C=C/CCCCCCCCCC(=O)OC(CO)COP(=O)([O-])OCC(O)CO
2aobut,L-2-Amino-3-oxobutanoate,MNXM114087,CC(=O)[C@H](N)C(=O)O
2cpr5p,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,MNXM1455,O=C(O)c1ccccc1NCC(=O)[C@H](O)[C@H](O)COP(=O)(O)O
2dh3dgal6p,2-Dehydro-3-deoxy-D-galactonate 6-phosphate,MNXM90136,O=C(O)C(=O)C[C@@H](O)[C@H](O)COP(=O)(O)O
2dhp,2-Dehydropantoate,MNXM959,CC(C)(CO)C(=O)C(=O)O
2dmmql8,2-Demethylmenaquinol 8,MNXM558,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(O)c2ccccc2c1O
2dr1p,2-Deoxy-D-ribose 1-phosphate,MNXM789,O=P(O)(O)OC1C[C@H](O)[C@@H](CO)O1
2h3oppan,2-Hydroxy-3-oxopropanoate,MNXM475,O=CC(O)C(=O)O
2hdecg3p,2-hexadecanoyl-sn-glycerol 3-phosphate,MNXM5465,CCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])[O-]
2mahmp,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate,MNXM1135,Cc1ncc(COP(=O)(O)OP(=O)(O)O)c(=N)[nH]1
2mcacn,Cis-2-Methylaconitate,MNXM1792,C/C(C(=O)O)=C(\CC(=O)O)C(=O)O
2obut,2-Oxobutanoate,MNXM159,CCC(=O)C(=O)O
2odecg3p,2-octadecanoyl-sn-glycerol 3-phosphate,MNXM5481,CCCCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])[O-]
2ohph,2-Octaprenyl-6-hydroxyphenol,MNXM1635,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cccc(O)c1O
2ombzl,"2-Octaprenyl-6-methoxy-1,4-benzoquinol",MNXM162799,COc1cc(O)cc(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O
2ommbl,"2-Octaprenyl-3-methyl-6-methoxy- 1,4-benzoquinol",MNXM35383,COC1=CC(O)C(C)=C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C1O
2omph,2-Octaprenyl-6-methoxyphenol,MNXM1707,COc1cccc(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O
2oph,2-Octaprenylphenol,MNXM1886,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1ccccc1O
2pg,D-Glycerate 2-phosphate,MNXM275,O=C(O)[C@@H](CO)OP(=O)(O)O
2pglyc,2-Phosphoglycolate,MNXM2074,O=C(O)COP(=O)(O)O
2tdecg3p,2-tetradecanoyl-sn-glycerol 3-phosphate,MNXM5491,CCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)O
35cgmp,"3',5'-Cyclic GMP",MNXM665,N=c1nc(O)c2ncn([C@@H]3O[C@@H]4COP(=O)(O)O[C@H]4[C@H]3O)c2[nH]1
3c2hmp,3-Carboxy-2-hydroxy-4-methylpentanoate,MNXM891,CC(C)[C@H](C(=O)O)[C@@H](O)C(=O)O
3c3hmp,3-Carboxy-3-hydroxy-4-methylpentanoate,MNXM985,CC(C)C(O)(CC(=O)O)C(=O)O
3c4mop,3-Carboxy-4-methyl-2-oxopentanoate,MNXM1602,CC(C)[C@H](C(=O)O)C(=O)C(=O)O
3dhq,3-Dehydroquinate,MNXM478,O=C1C[C@@](O)(C(=O)O)C[C@@H](O)[C@@H]1O
3haACP,(3R)-3-Hydroxyacyl-[acyl-carrier protein],MNXM5861,COc1cc(O)c2c(=O)c(OC)c(-c3ccc(O)c(O)c3)oc2c1
3hadpcoa,(3S)-3-Hydroxyadipyl-CoA,MNXM2784,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(O)=NCCC(O)=NCCSC(=O)C[C@@H](O)CCC(=O)O
3hbcoa,(S)-3-Hydroxybutanoyl-CoA,MNXM446,C[C@H](O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3hcddec5eACP,(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein],MNXM5389,
3hcmrs7eACP,(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein],MNXM5390,
3hcpalm9eACP,(R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein],MNXM6556,
3hdcoa,(S)-3-Hydroxydecanoyl-CoA,MNXM674,CCCCCCC[C@H](O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3hddcoa,(S)-3-Hydroxydodecanoyl-CoA,MNXM733,CCCCCCCCC[C@H](O)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3hdecACP,(R)-3-Hydroxydecanoyl-[acyl-carrier protein],MNXM7127,
3hhcoa,(S)-3-Hydroxyhexanoyl-CoA,MNXM757,CCC[C@H](O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3hhdcoa,(S)-3-Hydroxyhexadecanoyl-CoA,MNXM825,CCCCCCCCCCCCC[C@H](O)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3hocoa,(S)-3-Hydroxyoctanoyl-CoA,MNXM766,CCCCC[C@H](O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3hoctaACP,(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein],MNXM6417,
3hpp,3-Hydroxypropanoate,MNXM872,O=C([O-])CCO
3hpppn,3-(3-hydroxy-phenyl)propionate,MNXM1634,O=C(O)CCc1cccc([O-])c1
3mop,(S)-3-Methyl-2-oxopentanoate,MNXM439,CC[C@H](C)C(=O)C(=O)O
3ocddec5eACP,3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein],MNXM6837,
3ocmrs7eACP,3-oxo-cis-myristol-7-eoyl-[acyl-carrier protein],MNXM6838,
3ocvac11eACP,3-oxo-cis-vacc-11-enoyl-[acyl-carrier protein],MNXM6840,
3odcoa,3-Oxodecanoyl-CoA,MNXM677,CCCCCCCC(=O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3ohcoa,3-Oxohexanoyl-CoA,MNXM717,CCCC(=O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3ohdcoa,3-Oxohexadecanoyl-CoA,MNXM738,CCCCCCCCCCCCCC(=O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
3ohodcoa,3-Oxooctadecanoyl-CoA,MNXM513,CCCCCCCCCCCCCCCC(=O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3opalmACP,3-Oxohexadecanoyl-[acyl-carrier protein],MNXM4345,CCCCCCCCCCCCCC(=O)CC(=O)S[*]
3otdcoa,3-Oxotetradecanoyl-CoA,MNXM707,CCCCCCCCCCCC(=O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3oxdhscoa,"3-oxo-5,6-dehydrosuberyl-CoA",MNXM3852,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(O)=NCCC(O)=NCCSC(=O)CC(=O)C/C=C/CC(=O)O
3pg,3-Phospho-D-glycerate,MNXM126,O=C(O)[C@H](O)COP(=O)(O)O
4ahmmp,4-Amino-5-hydroxymethyl-2-methylpyrimidine,MNXM874,Cc1ncc(CO)c(=N)[nH]1
4crsol,P-Cresol,MNXM828,Cc1ccc(O)cc1
4h2opntn,4-Hydroxy-2-oxopentanoate,MNXM1176,CC(O)CC(=O)C(=O)O
4mop,4-Methyl-2-oxopentanoate,MNXM404,CC(C)CC(=O)C(=O)O
4mpetz,4-Methyl-5-(2-phosphoethyl)-thiazole,MNXM960,Cc1ncsc1CCOP(=O)(O)O
4ppcys,N-((R)-4-Phosphopantothenoyl)-L-cysteine,MNXM483,CC(C)(COP(=O)(O)O)[C@@H](O)C(O)=NCCC(O)=N[C@@H](CS)C(=O)O
56dura,"5,6-dihydrouracil",MNXM506,OC1=NC(O)=NCC1
5aizc,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,MNXM507,Nc1c(C(=O)O)ncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
5aop,5-Amino-4-oxopentanoate,MNXM405,NCC(=O)CCC(=O)O
5apru,5-Amino-6-(5'-phosphoribosylamino)uracil,MNXM1532,Nc1c(O)nc(O)nc1N[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
5dh4dglc,5-Dehydro-4-deoxy-D-glucarate,MNXM854,O=C(O)C(=O)C[C@H](O)[C@@H](O)C(=O)O
5drib,5'-deoxyribose,MNXM4391,C[C@@H](O)[C@@H](O)[C@@H](O)C=O
5mta,5-Methylthioadenosine,MNXM150,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
5mtr,5-Methylthio-D-ribose,MNXM1592,CSC[C@H]1OC(O)[C@H](O)[C@@H]1O
6hmhpt,6-hydroxymethyl dihydropterin,MNXM937,N=c1nc(O)c2c([nH]1)NCC(CO)=N2
6hmhptpp,6-hydroxymethyl-dihydropterin pyrophosphate,MNXM1160,N=c1nc([O-])c2c([nH]1)NCC(COP(=O)(O)OP(=O)([O-])[O-])=N2
6pgc,6-Phospho-D-gluconate,MNXM325,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
6pgl,"6-phospho-D-glucono-1,5-lactone",MNXM429,O=C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]1O
LalaDglu,L-alanine-D-glutamate,MNXM3630,CC(N)C(O)=NC(CCC(=O)[O-])C(=O)O
LalaDgluMdapDala,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine",MNXM59271,CC(N)C(O)=NC(CCCC(N=C(O)CCC(N=C(O)C(C)N)C(=O)O)C(=O)O)C(=O)O
Nmtrp,N-Methyltryptophan,MNXM3055,CNC(Cc1c[nH]c2ccccc12)C(=O)O
aacoa,Acetoacetyl-CoA,MNXM133,CC(=O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
acald,Acetaldehyde,MNXM75,CC=O
accoa,Acetyl-CoA,MNXM21,CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
acetol,Acetol cytosol,MNXM1744,CC(=O)CO
acg5p,N-Acetyl-L-glutamyl 5-phosphate,MNXM1384,CC(O)=N[C@@H](CCC(=O)OP(=O)(O)O)C(=O)O
acgam,N-Acetyl-D-glucosamine,MNXM143,CC(O)=N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
acgam1p,N-Acetyl-D-glucosamine 1-phosphate,MNXM91871,CC(O)=N[C@H]1C(OP(=O)(O)O)O[C@H](CO)[C@@H](O)[C@@H]1O
acglu,N-Acetyl-L-glutamate,MNXM730,CC(O)=N[C@@H](CCC(=O)O)C(=O)O
acmalt,Acetyl-maltose,MNXM3135,CC(=O)OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
acnam,N-Acetylneuraminate,MNXM227,CC(O)=N[C@@H]1[C@@H](O)CC(O)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO
aconm,E-3-carboxy-2-pentenedioate 6-methyl ester,MNXM3742,COC(=O)/C(=C/C(=O)[O-])CC(=O)[O-]
acorn,N2-Acetyl-L-ornithine,MNXM817,CC(O)=N[C@@H](CCCN)C(=O)O
acser,O-Acetyl-L-serine,MNXM418,CC(=O)OC[C@H](N)C(=O)O
actp,Acetyl phosphate,MNXM280,CC(=O)OP(=O)(O)O
adocbi,Adenosyl cobinamide,MNXM90790,CC1=C2N=C(C=C3N=C(C(C)=C4N[C@@](C)([C@@H]5N=C1[C@](C)(CCC(O)=NC[C@@H](C)O)[C@H]5CC(=N)O)[C@@](C)(CC(=N)O)[C@@H]4CCC(=N)O)[C@@](C)(CC(=N)O)[C@@H]3CCC([NH-])=O)C(C)(C)[C@@H]2CCC(=N)O.[CH2-][C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.[Co]
adp,ADP C10H12N5O10P2,MNXM7,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
adpglc,ADPglucose C16H23N5O15P2,MNXM561,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O
adprib,ADPribose C15H21N5O14P2,MNXM48596,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OCC2OC(O)C(O)C2O)C(O)C1O
ag,Silver,MNXM5928,[Ag]
agdpcbi,Adenosine-GDP-cobinamide,MNXM1105,CC1=C2N=C(C=C3N=C(C(C)=C4N[C@@](C)(C5N=C1[C@](C)(CCC(O)=NCC(C)OP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H]([n+]6c[nH]c7c(O)nc(=N)[nH]c76)[C@H](O)[C@@H]1O)[C@H]5CC(=N)O)[C@@](C)(CC(=N)O)[C@@H]4CCC(=N)O)[C@@](C)(CC(=N)O)[C@@H]3CCC(=N)[O-])C(C)(C)[C@@H]2CCC(=N)[O-].[CH2-][C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.[Co+3]
agm,Agmatine,MNXM328,N=C(N)NCCCCN
ahdt,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate",MNXM397,N=c1nc(O)c2c([nH]1)NCC([C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)=N2
air,5-amino-1-(5-phospho-D-ribosyl)imidazole,MNXM162266,Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
akg,2-Oxoglutarate,MNXM20,O=C(O)CCC(=O)C(=O)O
ala_B,Beta-Alanine,MNXM144,NCCC(=O)O
ala__L,L-Alanine,MNXM32,C[C@H](N)C(=O)O
alac__S,(S)-2-Acetolactate,MNXM114079,CC(=O)[C@](C)(O)C(=O)O
alatrna,L-Alanyl-tRNA(Ala),MNXM89815,
all__D,D-Allose,MNXM1919,OC[C@H]1OC(O)[C@H](O)[C@H](O)[C@@H]1O
all6p,D-Allose 6-phosphate,MNXM4545,O=C[C@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
alltt,Allantoate,MNXM584,N=C(O)NC(NC(=N)O)C(=O)[O-]
amet,S-Adenosyl-L-methionine,MNXM16,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
ametam,S-Adenosylmethioninamine,MNXM321,C[S+](CCCN)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
amob,S-Adenosyl-4-methylthio-2-oxobutanoate,MNXM3090,C[S+](CCC(=O)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
amp,AMP C10H12N5O7P,MNXM14,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
anhgm4p,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide,MNXM63488,CC(O)=N[C@H]1C2OCC(O2)C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2N=C(C)O)[C@@H]1OC(C)C(O)=NC(C)C(O)=NC(CCC(=O)O)C(O)=NC(CCCC(N)C(=O)O)C(O)=NC(C)C(=O)O
ap4a,"P1,P4-Bis(5'-adenosyl) tetraphosphate",MNXM1089,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
apg120,Acyl phosphatidylglycerol (n-C12:0),MNXM40226,CCCCCCCCCCCC(=O)OC[C@H](O)COP(=O)([O-])OC[C@@H](COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
apg140,Acyl phosphatidylglycerol (n-C14:0),MNXM40227,CCCCCCCCCCCCCC(=O)OC[C@H](O)COP(=O)([O-])OC[C@@H](COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC
apg141,Acyl phosphatidylglycerol (n-C14:1),MNXM7019,CCCCCC/C=C/CCCCCC(=O)OCC(O)COP(=O)([O-])OCC(COC(=O)CCCCC/C=C/CCCCCC)OC(=O)CCCCC/C=C/CCCCCC
apg160,Acyl phosphatidylglycerol (n-C16:0),MNXM40228,CCCCCCCCCCCCCCCC(=O)OC[C@H](O)COP(=O)([O-])OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
apg161,Acyl phosphatidylglycerol (n-C16:1),MNXM7021,CCCCCC/C=C/CCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC(COC(=O)CCCCCCC/C=C/CCCCCC)OC(=O)CCCCCCC/C=C/CCCCCC
apg180,Acyl phosphatidylglycerol (n-C18:0),MNXM40229,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](O)COP(=O)([O-])OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
apg181,Acyl phosphatidylglycerol (n-C18:1),MNXM7023,CCCCCC/C=C/CCCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC(COC(=O)CCCCCCCCC/C=C/CCCCCC)OC(=O)CCCCCCCCC/C=C/CCCCCC
arab__L,L-Arabinose,MNXM91126,OC1OC[C@H](O)[C@H](O)[C@H]1O
aragund,O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate,MNXM65126,CC(=O)OC1C(OC2C(O)C(CO)OC(OP(=O)(O)OP(=O)([O-])OC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C2N=C(C)[O-])OC(C)C(O)C1O
arbt6p,Arbutin 6-phosphate,MNXM2806,O=P(O)(O)OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
arbtn,Aerobactin minus Fe3,MNXM96506,CC(=O)N(O)CCCC[C@H](N=C([O-])CC(O)(CC([O-])=N[C@@H](CCCCN(O)C(C)=O)C(=O)O)C(=O)O)C(=O)[O-]
argsuc,N(omega)-(L-Arginino)succinate,MNXM550,N=C(NCCC[C@H](N)C(=O)O)N[C@@H](CC(=O)O)C(=O)O
argtrna,L-Arginyl-tRNA(Arg),MNXM89870,
ascb6p,L-ascorbate-6-phosphate,MNXM2689,O=C1O[C@H]([C@@H](O)COP(=O)([O-])O)C([O-])=C1[O-]
asntrna,L-Asparaginyl-tRNA(Asn),MNXM89761,
aso3,Arsenite,MNXM658,O[As](O)O
aso4,Arsenate,MNXM970,O=[As](O)(O)O
asp__L,L-Aspartate,MNXM42,N[C@@H](CC(=O)O)C(=O)O
aspsa,L-Aspartate 4-semialdehyde,MNXM361,N[C@@H](CC=O)C(=O)O
athr__L,L-Allo-threonine,MNXM2125,C[C@H](O)[C@H](N)C(=O)O
b2coa,Crotonoyl-CoA,MNXM214,C/C=C/C(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
